CellID;cellType;HIF1A;ATP1A2;FGFR3;LMO3;TGFBI;ANXA2;EGFR;MBP;SOX9;STMN2;dimension 1;dimension 2;dimension 3;Dataset
1001000177.H8;Immune cell;353.47092;0;0;0;630.10034;0;40.982136;0;0;0;6.639876;-5.2659883;-0.7327645;Glioblastoma
1001000177.F8;Immune cell;321.8671;0;0;0;1750.8657;422.3079;0;0;0;0;7.3208804;-4.8775454;0.39344516;Glioblastoma
1001000177.C7;Immune cell;763.0222;0;0;0;14059.622;3202.1914;0;0;0;0;7.6978865;-2.3216527;1.3475361;Glioblastoma
1001000177.D11;Immune cell;824.9262;0;0;0;0;351.35745;0;0;0;0;5.721396;-4.000663;0.42289776;Glioblastoma
1001000177.B3;Immune cell;18.670727;0;0;0;0;60.161232;0;0;2.0745254;0;6.782147;-3.9186707;-0.62891155;Glioblastoma
1001000178.G8;Immune cell;131.41246;0;0;0;0;0;0;0;0;0;5.023132;-4.208692;-2.9119704;Glioblastoma
1001000178.A9;Immune cell;1889.3253;0;0;0;0;0;0;129.82207;0;0;5.3532906;-3.9442768;-2.6908207;Glioblastoma
1001000178.B7;Immune cell;0;0;0;0;0;0;0;0;0;0;5.208354;-3.8896925;-2.2879848;Glioblastoma
1.00E+14;Immune cell;50.651756;0;0;0;0;1116.5409;0;4.4045005;0;0;5.141163;-3.8048863;-2.2540975;Glioblastoma
1001000178.D12;Immune cell;0;0;0;0;0;0;0;54.781513;0;0;5.063733;-4.293184;-3.2814028;Glioblastoma
1001000178.F4;Immune cell;1260.0638;0;0;0;0;0;0;0;0;0;5.8207254;-5.1651464;-1.8047125;Glioblastoma
1001000178.F10;Immune cell;0;0;0;0;0;0;0;0;0;0;5.4263;-4.61952;-3.0224428;Glioblastoma
1001000178.B5;Immune cell;630.14453;0;0;0;0;0;0;0;0;0;5.203492;-4.225168;-3.0195048;Glioblastoma
1001000178.D10;Immune cell;0;0;0;0;0;0;0;1333.4341;0;0;5.509036;-3.7754035;-2.84289;Glioblastoma
1001000178.A12;Immune cell;91.07705;0;0;0;0;0;0;0;0;0;5.497207;-4.894782;-2.4237387;Glioblastoma
1001000178.F11;Immune cell;1138.7908;0;0;0;0;0;0;0;0;0;5.4338746;-4.028968;-2.8396993;Glioblastoma
1.00E+12;Immune cell;490.06015;0;0;0;0;0;0;0;0;0;5.4562383;-4.4765077;-2.5993128;Glioblastoma
1001000178.C4;Immune cell;0;0;0;0;0;0;0;0;0;0;5.0415893;-4.3124437;-3.3935313;Glioblastoma
1001000178.F2;Immune cell;0;0;0;0;0;0;0;0;0;0;5.453823;-4.556044;-2.9891555;Glioblastoma
1001000178.F9;Immune cell;0;0;0;0;0;0;0;0;0;0;5.069099;-4.0131364;-2.7164469;Glioblastoma
1001000178.C9;Immune cell;775.3858;0;0;0;0;0;0;0;0;0;5.477836;-4.2268424;-3.3139691;Glioblastoma
1001000178.D8;Immune cell;0;0;0;0;0;0;0;0;0;0;5.041697;-4.3115964;-2.7930331;Glioblastoma
1001000178.C2;Immune cell;0;0;0;0;0;1590.7435;0;0;0;0;5.460839;-4.1228366;-1.9678601;Glioblastoma
1001000178.G1;Immune cell;1139.6665;0;0;0;0;0;0;0;0;0;5.065406;-4.5092254;-3.1396313;Glioblastoma
1001000178.B3;Immune cell;0;0;0;0;1044.8502;0;0;0;0;0;5.2440214;-3.3471582;-0.92334765;Glioblastoma
1001000178.A6;Immune cell;62.799522;0;0;0;0;0;0;0;0;0;5.4251666;-3.6460183;-2.6813822;Glioblastoma
1001000178.C10;Immune cell;0;0;0;0;0;0;0;0;0;0;5.6884437;-3.721033;-2.376942;Glioblastoma
1001000178.C5;Immune cell;0;0;0;0;0;0;0;0;0;0;5.213814;-4.7875047;-2.9463441;Glioblastoma
